gauge,hy_year,q,q_ml,gap_days,p,pet
235204,2010,1224.0591559414,13668.577,0,2045.99149109249,933.2
235204,2011,918.739766730341,10259.198,0,1676.72126907174,968.9
235204,2012,1010.39712694767,11282.6989310345,1,1792.28936629362,973.5
235204,2013,1088.62193977409,12156.204,0,1943.79150372886,965.2
235204,2014,669.960424716233,7481.179,0,1540.77872741032,968.1
235204,2015,,,,1367.89574492992,935.1
235204,2016,1086.15046197609,12128.606,0,1929.55319248473,890
235205,1958,1162.01036704527,5148.768,0,1649.80000097305,934.2
235205,1959,597.57287137433,2647.794,0,1269.1999944374,932.5
235205,1960,1209.10335962903,5357.433,0,1802.29999825358,959.7
235205,1961,668.229173936729,2960.866,0,1443.30000046641,981.8
235205,1962,767.17851041603,3399.302,0,1473.50000144541,906.9
235205,1963,792.115803280395,3509.797,0,1394.70000285655,915.1
235205,1964,1349.796228058,5980.831,0,1868.10000048578,838.7
235205,1965,906.791240525177,4017.914,0,1536.99999747425,911.2
235205,1966,943.288902206151,4179.632,0,1557.09999699146,879
235205,1967,333.664792636687,1478.44,0,970.300003394485,984
235205,1968,1145.213832504,5074.344,0,2037.99999696761,861.9
235205,1969,979.107697178804,4338.342,0,1546.09999992698,873.2
235205,1970,1342.72996587796,5949.521,0,2123.8999928683,861.5
235205,1971,1373.15032612221,6084.311,0,2139.50000947714,875.1
235205,1972,520.445443437028,2306.049,0,1348.89999686927,927.2
235205,1973,1060.96439768023,4701.042,0,1607.90000112355,918.8
235205,1974,1062.61010779894,4708.334,0,1733.19999759644,893.3
235205,1975,1155.39367350984,5119.45,0,1774.99999821186,891.7
235205,1976,756.446864522611,3351.751,0,1619.70000188798,876.7
235205,1977,975.462625301775,4322.191,0,1513.60000606626,927.3
235205,1978,1989.34824868369,8814.631,0,1941.50000168383,876
235205,1979,1019.55036885362,4517.54,0,1632.7999920249,900.1
235205,1980,1153.0108694186,5108.892,0,1709.09999933839,967.6
235205,1981,716.993830652317,3176.938,0,1446.89999743551,957.4
235205,1982,455.393402211413,2017.809,0,1107.39999789,965.1
235205,1983,900.342458170262,3989.34,0,1589.50000339002,894.4
235205,1984,979.795365682878,4341.389,0,1583.60000111163,898.6
235205,1985,1012.33944126133,4485.589,0,1666.40000088513,894.8
235205,1986,1219.88871904525,5405.222,0,1806.20000563562,908.5
235205,1987,855.235511807656,3789.475,0,1398.00000720471,917.8
235205,1988,854.442447441618,3785.961,0,1472.90000268817,942
235205,1989,1150.57773711061,5098.111,0,1808.79998704046,921.1
235205,1990,1090.35291663775,4831.26,0,1706.99999342859,938.3
235205,1991,1371.09860496351,6075.22,0,1843.09999062121,900.2
235205,1992,1277.600062613,5660.936,0,1981.69999936223,853.3
235205,1993,978.598547147563,4336.086,0,1578.89999581873,923.8
235205,1994,1000.46875272267,4432.991,0,1497.89999674261,921.2
235205,1995,1184.88149477842,5250.108,0,1850.80000066012,886.2
235205,1996,1321.58241030287,5855.818,0,1793.40000338107,908.5
235205,1997,687.501495642322,3046.26,0,1281.20000895113,948.8
235205,1998,644.392556915611,2855.248,0,1367.90000118315,951.8
235205,1999,475.431028773362,2106.594,0,1283.60000351816,944.4
235205,2000,792.08307865516,3509.652,0,1537.39999322593,1006.4
235205,2001,854.427777782029,3785.896,0,1885.59999497235,927.5
235205,2002,751.98796506905,3331.994,0,1512.69999651611,953.9
235205,2003,761.930834650772,3376.05,0,1641.59999804199,1002.1
235205,2004,1138.6330232128,5045.185,0,1959.10000682622,972
235205,2005,576.595483850462,2554.845,0,1327.20000052452,1006
235205,2006,338.726276568712,1500.867,0,1298.39999863505,1039.9
235205,2007,713.401795236875,3161.022,0,1627.99998860061,1027.4
235205,2008,628.656074544884,2785.521,0,1394.90000070632,1016.1
235205,2009,767.580007714602,3401.081,0,1776.79999478906,992.5
235205,2010,1116.3622230874,4946.505,0,2102.79999428988,936.5
235205,2011,902.84668190548,4000.436,0,1645.09999712557,971.6
235205,2012,867.563442351327,3844.099,0,1762.10000669956,975.3
235205,2013,929.752868773634,4119.655,0,1933.5999987945,968.7
235205,2014,637.647673124088,2825.362,0,1532.29999734461,969.4
235205,2015,586.880946405334,2600.419,0,1333.99999757111,933.9
235205,2016,864.45866532128,3830.342,0,1967.50000627339,892.2
235208,1964,449.036923906337,253289.005,0,1391.45636579595,919.3
235208,1965,246.736398597004,139177.011,0,1068.1122165341,1008.1
235208,1966,262.317753868425,147966.012,0,1129.68615520063,965.6
235208,1967,66.9879456662507,37786.002,0,659.484784197964,1048
235208,1968,389.081781429949,219470.008,0,1462.1452206549,952.1
235208,1969,244.780962666059,138074.005,0,1032.81401645605,949.6
235208,1970,461.764040785908,260468.011,0,1488.35884987094,945.1
235208,1971,500.844188567052,282512.015,0,1450.23476248423,974.2
235208,1972,179.96119008384,101511.008,0,966.117316584027,1011.3
235208,1973,318.729020220617,179786.008896552,2,1165.6121729126,1004.2
235208,1974,460.317001248807,259651.777,0,1231.73429142188,980.9
235208,1975,438.395501229222,247286.48,0,1276.17801167977,994.1
235208,1976,259.808083396399,146550.378,0,1089.00141464311,973
235208,1977,291.42223657697,164383.026,0,1062.12811883666,1009.6
235208,1978,397.219683562822,224060.368,0,1333.54003437461,972.9
235208,1979,300.193145156716,169330.447,0,1110.92370288592,996.3
235208,1980,382.113305172809,215539.288,0,1203.67492635324,1055.9
235208,1981,232.789434943435,131309.924,0,1008.3786540973,1046.2
235208,1982,87.294790921835,49240.518,0,766.997642825173,1042.3
235208,1983,273.696123685963,154384.228,0,1146.97389595939,986.8
235208,1984,275.571431500464,155442.036,0,1067.36228007686,997.7
235208,1985,289.304126280679,163188.26,0,1168.7993573987,987.9
235208,1986,380.390396433534,214567.444,0,1263.33467628333,997.6
235208,1987,248.937026777007,140418.323,0,1019.20617114198,999.8
235208,1988,199.056350648883,112282.047,0,1044.66510971444,1019.5
235208,1989,323.22672550173,182323.037,0,1291.70510101423,1000.4
235208,1990,340.105368061829,191843.801,0,1224.77085286806,1014.4
235209,1964,1096.59105020097,27649.3423333333,13,1794.81499874659,839.7
235209,1965,644.723779810862,16256.004,0,1421.3000020054,923
235209,1966,840.766361916607,21199.003,0,1455.95300099798,884.8
235209,1967,178.036723680355,4489.001,0,890.91400100492,994.6
235209,1968,815.247654202526,20555.5767333333,1,1978.31099978782,876.1
235209,1969,812.092064697608,20476.012,0,1421.8950009165,884.8
235209,1970,1713.73765229483,43210.018,0,2063.50400315322,873.2
